type habits,prix,adresse,img_link
Robe enfant,12000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4910319_uploaded_image1_1724580054.jpg
Serviette de bain pour bébé,4000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4861240_uploaded_image1_1721949203.jpg
Grenouillère bébé de 0- 24 mois,1500.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877415_uploaded_image1_1722816062.jpg
Body pour bébé de 0-24mois,750.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877371_uploaded_image1_1722813872.jpg
Robe pour fille,4500.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4886076_uploaded_image1_1723220872.jpg
Robe fille,22800.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885783_uploaded_image1_1723209095.jpg
Vêtements de garçon,2500.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885328_uploaded_image1_1723192813.jpg
Ensemble pour garçon,4500.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885315_uploaded_image1_1723192524.jpg
Pyjama enfant en coton,2000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4882618_uploaded_image1_1723046965.jpg
Cuissards,210.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4881948_uploaded_image1_1723028512.jpg
Slips pour enfants,7500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4811384_uploaded_image1_1719393861.jpg
Robe princesse,17500.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804290_uploaded_image1_1718982555.jpg
Robes princesse,17500.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804282_uploaded_image1_1718982396.jpg
Ensemble 3  pièces,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4788092_uploaded_image1_1717977175.jpg
Robe brodé,10000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4787486_uploaded_image1_1717947693.jpg
Couverture bébé,4000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4782346_uploaded_image1_1717666928.jpg
Ensemble enfant,9000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773123_uploaded_image1_1717195531.jpg
Robe anniversaire ou cérémonie,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775997_uploaded_image1_1717372054.jpg
Robe pour anniversaire ou cérémonie,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775993_uploaded_image1_1717371915.jpg
Ensemble 5 pieces,6000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775968_uploaded_image1_1717370720.jpg
Grenouillère 0 - 9 mois,5000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775960_uploaded_image1_1717370364.jpg
Ensemble bas large fille 10 - 14 ans,12000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775932_uploaded_image1_1717369632.jpg
Ensemble coton fille,5000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775892_uploaded_image1_1717367975.jpg
Robe brodé,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775889_uploaded_image1_1717367795.jpg
Robe en coton 9 - 24 mois,5000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775887_uploaded_image1_1717367631.jpg
Robe coton fille 2 - 5 ans,6000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg
Robes brodé,10000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775869_uploaded_image1_1717366678.jpg
Ensemble bas,5000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775865_uploaded_image1_1717366540.jpg
Ensemble bas,5000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775846_uploaded_image2_1717365985.jpeg
Robe enfant,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg
Vêtement enfant,5000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4730553_uploaded_image1_1715080309.jpg
Vêtements enfant,8000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4770789_uploaded_image1_1717088821.jpg
Slip enfant,2500.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4766856_uploaded_image1_1716912176.jpg
Vêtements enfant,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4750299_uploaded_image1_1716034798.jpg
Vêtements enfant,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4743643_uploaded_image1_1715718710.jpg
Djellaba enfant,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4683616_uploaded_image1_1712666779.jpg
Djellaba enfants,15000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682806_uploaded_image1_1712615672.jpg
Djellaba enfants,10000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682804_uploaded_image1_1712615617.jpg
Djellaba enfants,12500.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682799_uploaded_image1_1712615352.jpg
Ensemble 3 pièces enfants,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669732_uploaded_image1_1711987098.jpg
Vêtements enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669723_uploaded_image1_1711986941.jpg
Slips pour enfants 2 - 8 ans,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4668016_uploaded_image1_1711892538.jpg
Vetement  enfants,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Robe enfant,6000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4666224_uploaded_image1_1711745782.jpg
Ensemble petit garçon,9000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709506_uploaded_image1_1713995931.jpg
Ensemble crop top,12000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709483_uploaded_image1_1713995121.jpg
Ensemble maillot de bain,9000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709459_uploaded_image1_1713994419.jpg
Robes enfants,10000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667155_uploaded_image1_1711816360.jpg
Robes en basin enfants,10000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667140_uploaded_image1_1711815203.jpg
Robes basine et brodé enfant,10000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667139_uploaded_image1_1711815054.jpg
Robes enfant basin et brodé,10000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667136_uploaded_image1_1711814665.jpg
Vêtements enfants,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659704_uploaded_image1_1711412034.jpg
Ensemble robe enfants,5000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659695_uploaded_image1_1711411505.jpg
Vêtements enfants,5000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659699_uploaded_image1_1711411751.jpg
Ensemble pour enfants,5000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659694_uploaded_image1_1711411367.jpg
Pantalons enfant,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659691_uploaded_image1_1711411286.jpg
Robe Turquie  enfants,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4653806_uploaded_image1_1711066086.jpg
Djellaba enfant,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651640_uploaded_image1_1710950622.jpg
Ensemble 3 pièces  enfants,20000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651598_uploaded_image1_1710949536.jpg
Vetements enfant,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4645364_uploaded_image1_1710623336.jpg
Djellaba enfant,13000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4645145_uploaded_image1_1710608095.jpg
Ensemble  enfants,13000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4643810_uploaded_image1_1710528700.jpg
Robe enfant,5000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686601_uploaded_image1_1712843423.jpg
Robe enfant,4000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686597_uploaded_image1_1712843301.jpg
Vêtements enfants,3000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686588_uploaded_image1_1712843043.jpg
Vêtements enfants,1700.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686576_uploaded_image1_1712842903.jpg
Vêtements enfants,1500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686563_uploaded_image1_1712842706.jpg
Djellaba enfant,18000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639600_uploaded_image1_1710311876.jpg
Djellaba enfant,15000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639590_uploaded_image1_1710311581.jpg
Vêtements enfant,9500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg
Djellaba enfants,20000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676613_uploaded_image1_1712271072.jpg
Silip enfants,2500.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4672209_uploaded_image1_1712088527.jpg
Pack Jelleba pour enfant,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4655936_uploaded_image1_1711198926.jpg
Djellaba enfant,5000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608935_uploaded_image1_1708714886.jpg
Robe femme,15000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4652500_uploaded_image1_1711013502.jpg
Robe fille,15000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651732_uploaded_image1_1710953991.jpg
Djellaba enfants,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600870_uploaded_image1_1708347775.jpg
Djellaba enfants,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600864_uploaded_image1_1708347454.jpg
Djellaba enfants,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600865_uploaded_image1_1708347569.jpg
Djellaba enfants,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600868_uploaded_image1_1708347690.jpg
Vêtements bébé,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624772_uploaded_image2_1709562313.jpeg
Grenouillère,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4623255_uploaded_image2_1709484828.jpeg
Tenue anniversaire enfant,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4623058_uploaded_image1_1709473724.jpg
Robes enfant,15000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623032_uploaded_image1_1709472242.jpg
Vêtements enfant,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4615109_uploaded_image1_1709070529.jpg
Ensemble filles,5000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4615094_uploaded_image1_1709070182.jpg
Coffret naissance,15000.0,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608080_uploaded_image1_1708687411.jpg
Robe enfant,9000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4607426_uploaded_image1_1708642698.jpg
Grenouillère,3500.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4606506_uploaded_image1_1708607013.jpg
Pantalon friperie enfants,3000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604387_uploaded_image1_1708513793.jpg
Pantalon friperie enfants,3000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604385_uploaded_image1_1708513782.jpg
Pantalon friperie enfants,3000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604379_uploaded_image1_1708513648.jpg
Pantalon enfant friperie,3000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604378_uploaded_image1_1708513583.jpg
Blouson enfants,8500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4556181_uploaded_image1_1705852562.jpg
Robe bébé 0 - 9 mois,2000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4588746_uploaded_image1_1707650951.jpg
Vêtements pour bébé,500.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4585357_uploaded_image1_1707428281.jpg
Ensemble blouson pour fille,4000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4577293_uploaded_image1_1707012822.jpg
Vêtement enfant,8500.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571573_uploaded_image1_1706729137.jpg
Vêtement enfant,8500.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571570_uploaded_image1_1706729054.jpg
Vêtement enfant,10000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571564_uploaded_image1_1706728937.jpg
Vetements  enfants,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
Ensemble enfant,6000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
Vetement enfants,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4510412_uploaded_image1_1703252917.jpg
Vêtements enfants,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4510416_uploaded_image1_1703253068.jpg
Blouson pour enfant 4 - 15 ans,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg
